Province,Region,GDP Nominal (billion RP),GDP Nominal (billion USD)
Aceh,Sumatra,211750,14.26
Bali,Lesser Sunda Islands,245233,16.52
Bangka Belitung Islands,Sumatra,95285,6.42
Banten,Java,747250,50.32
Bengkulu,Sumatra,90112,6.07
Central Java,Java,1560899,105.12
Central Kalimantan,Kalimantan,199948,13.47
Central Sulawesi,Sulawesi,323617,21.79
East Java,Java,2730907,183.91
East Kalimantan,Kalimantan,921332,62.05
East Nusa Tenggara,Lesser Sunda Islands,118718,8.00
Gorontalo,Sulawesi,47574,3.20
Jakarta,Java,3186470,214.59
Jambi,Sumatra,276316,18.61
Lampung,Sumatra,414131,27.89
Maluku,Maluku Islands,53692,3.62
North Kalimantan,Kalimantan,138718,9.34
North Maluku,Maluku Islands,70903,4.77
North Sulawesi,Sulawesi,157028,10.58
North Sumatra,Sumatra,955193,64.33
Papua,Western New Guinea,262516,17.68
Riau,Sumatra,991589,66.78
Riau Islands,Sumatra,308843,20.80
South Kalimantan,Kalimantan,251256,16.92
South Sulawesi,Sulawesi,605145,40.75
South Sumatra,Sumatra,591603,39.84
Southeast Sulawesi,Sulawesi,158761,10.69
Special Region of Yogyakarta,Java,165690,11.16
West Java,Java,2422782,163.16
West Kalimantan,Kalimantan,255797,17.23
West Nusa Tenggara,Lesser Sunda Islands,156944,10.57
West Papua,Western New Guinea,91292,6.15
West Sulawesi,Sulawesi,54071,3.64
West Sumatra,Sumatra,285379,19.22
