Id,Province,Region,GDP Nominal (billion RP),GDP Nominal (billion USD)
1,Aceh,Sumatra,227110.0,14.9
2,Bali,Lesser Sunda Islands,274356.0,18.0
3,Bangka Belitung Islands,Sumatra,102636.0,6.734
4,Banten,Java,814124.0,53.412
5,Bengkulu,Sumatra,96552.0,6.334
6,Central Java,Java,1696795.0,111.321
7,Central Kalimantan,Kalimantan,208846.0,13.702
8,Central Papua,Western New Guinea,150371.0,9.865
9,Central Sulawesi,Sulawesi,347139.0,22.775
10,East Java,Java,2953547.0,193.773
11,East Kalimantan,Kalimantan,843571.0,55.344
12,East Nusa Tenggara,Lesser Sunda Islands,128523.0,8.432
13,Gorontalo,Sulawesi,51374.0,3.371
14,Highland Papua,Western New Guinea,24434.0,1.603
15,Jakarta,Java,3442981.0,225.883
16,Jambi,Sumatra,293729.0,19.271
17,Lampung,Sumatra,448880.0,29.45
18,Maluku,Maluku Islands,58490.0,3.837
19,North Kalimantan,Kalimantan,147279.0,9.662
20,North Maluku,Maluku Islands,85146.0,5.586
21,North Sulawesi,Sulawesi,171.969,11.282
22,North Sumatra,Sumatra,1050995.0,68.953
23,Papua,Western New Guinea,81738.0,5.363
24,Riau,Sumatra,1026472.0,67.344
25,Riau Islands,Sumatra,331890.0,21.774
26,South Kalimantan,Kalimantan,269297.0,17.668
27,South Papua,Western New Guinea,31360.0,2.057
28,South Sulawesi,Sulawesi,652574.0,42.813
29,South Sumatra,Sumatra,629100.0,41.273
30,Southeast Sulawesi,Sulawesi,176180.0,11.559
31,Southwest Papua,Western New Guinea,36105.0,2.369
32,Special Region of Yogyakarta,Java,180690.0,11.855
33,West Java,Java,2625219.0,172.232
34,West Kalimantan,Kalimantan,274469.0,18.007
35,West Nusa Tenggara,Lesser Sunda Islands,166395.0,10.917
36,West Papua,Western New Guinea,61572.0,4.04
37,West Sulawesi,Sulawesi,58552.0,3.841
38,West Sumatra,Sumatra,312770.0,20.52
